customer_id,company_name,contact_name,email,country,indUnited Statestry,company_size,initial_plan,signup_date,acquisition_channel
CUST00035,James Ltd,Kelly Lopez,jeremybender@carter.com,United Kingdom,Finance,Small (2-10),Business,5/5/2022,Paid Ads
CUST00036,Noble Group,Jennifer Howe,faulknermaria@medina-walker.com,Australia,,Solo,Free,1/25/2023,Paid Ads
CUST00037,Gonzales-Green,Jason Kim,larrymcdowell@martinez.com,Canada,Technology,Large (51-200),Business,6/4/2022,Direct
CUST00038,"Parsons, Gonzalez and Smith",Barbara Madden,thomaslauren@goodman.com,Pakistan,Consulting,Enterprise (200+),Pro,1/31/2022,Social Media
CUST00039,"Maynard, Smith and Fowler",Sheri Johnson,hleach@mason-thomas.net,France,Technology,Enterprise (200+),Business,3/14/2023,Referral
CUST00040,Bryan Group,Michael Sparks,bbrooks@morrison.com,United States,Legal,Medium (11-50),Pro,7/20/2024,Partner
CUST00041,Williams and Sons,Kimberly Aguilar,ABIGAIL45@HUNTER.COM,United States,Real Estate,Small (2-10),Business,9/23/2024,Partner
CUST00042,"Houston, Cohen and Dickson",Joseph Sanders,angela62@richard.com,India,Legal,Solo,Pro,5/5/2022,Direct
CUST00043,Powers-Jones,Patrick Davis,lbarrett@zhang.info,United States,Marketing,Medium (11-50),Business,11/19/2022,Direct
CUST00044,Finley-Sullivan,Jared Shaffer,alishamccoy@saunders.biz,India,Real Estate,Small (2-10),Free,5/20/2022,Paid Ads
CUST00045,Walker and Sons,Daniel Fisher,estessUnited Statesn@lee.com,Germany,Legal,Small (2-10),Pro,3/23/2022,Referral
CUST00046,Fisher Inc,Brittany Cannon,courtney82@glenn.info,United States,E-commerce,Medium (11-50),Free,6/19/2023,Paid Ads
CUST00047,"Sutton, Reed and Castillo",Richard Thompson,scott75@fitzgerald-barnett.com,Canada,Technology,Enterprise (200+),Pro,9/7/2023,Direct
CUST00048,Ferguson Group,Amanda Lyons,isaac88@krause-thomas.biz,United States,Education,Small (2-10),Free,7/24/2022,Organic Search
CUST00049,"Blevins, Lopez and Ball",Joseph Simpson,nicholaswhite@lowe.com,United Kingdom,Design,Solo,Business,5/16/2023,Referral
CUST00050,Martin Group,Jennifer Peters,paulewing@dunlap.com,Germany,,Medium (11-50),Business,1/17/2022,Paid Ads
CUST00051,"Choi, Jenkins and Carr",Gary Bradford,kellynatalie@walker-hopkins.com,United States,Healthcare,Solo,Pro,6/26/2023,Referral
CUST00052,Meyers Inc,Sandra Boyd,jjones@dyer.com,India,Healthcare,Small (2-10),Pro,3/8/2023,Direct
CUST00053,"Martin, Ward and Lopez",Patricia Edwards,louisperez@johnson-castro.net,United States,HR & Recruiting,Enterprise (200+),Pro,9/27/2024,Referral
CUST00054,"Wilson, Davis and Brown",Kristen Cline,alicia37@gonzalez.info,United States,Healthcare,Large (51-200),Pro,4/1/2022,Social Media
CUST00055,Orozco-Morris,Ruben Lopez,nicholas48@walker.info,Australia,Design,Solo,Business,5/25/2024,Paid Ads
CUST00056,Sanchez Ltd,Brianna Perez,THEODOREZAVALA@CRAWFORD-JONES.COM,Netherlands,Consulting,Medium (11-50),Free,3/15/2022,Organic Search
CUST00057,Thompson Inc,Denise Campbell,alexishunter@proctor.info,United Kingdom,Technology,Enterprise (200+),Business,9/24/2023,Paid Ads
CUST00058,"Tate, Martinez and Benton",Thomas Turner,paige28@brown.org,Germany,E-commerce,Small (2-10),Pro,5/27/2023,Direct
CUST00059,Jenkins and Sons,Jeremy Ramirez,georgethomas@miller.com,UAE,Consulting,Small (2-10),Free,11/13/2022,Social Media
CUST00060,Olsen Group,Tanner Campbell,gmoss@perez.com,United States,E-commerce,Enterprise (200+),Business,2/20/2022,Partner
CUST00061,Stephenson-Travis,Rebecca Villa,schmidtbilly@williams.com,United States,Technology,Large (51-200),Business,5/24/2023,Paid Ads
CUST00062,Robinson-Rivera,Ashley Stewart,megan62@evans.info,Netherlands,Finance,Small (2-10),Free,2/13/2023,Paid Ads
CUST00063,"Banks, Curtis and Hall",Michael Nelson,milleranthony@smith.info,Germany,Marketing,Small (2-10),Free,2/18/2022,Referral
CUST00064,Burke Inc,Benjamin Davis,JESSICANELSON@ROGERS.COM,Germany,Legal,Small (2-10),Business,12/21/2023,Referral
CUST00065,"Brown, Giles and Padilla",Victor Chapman,jonesstephanie@hardy.com,United States,Healthcare,Enterprise (200+),Free,2/26/2022,Direct
CUST00066,"Cline, Bray and Hubbard",Erik Coleman,kevinellis@webster-mclean.org,United Kingdom,Legal,,Free,6/8/2024,Direct
CUST00067,"Griffin, Landry and Gordon",Kim Baker,jonathan79@silva.org,United States,Legal,Medium (11-50),Free,1/25/2023,Partner
CUST00068,"Long, Petersen and Williams",Wayne King,rbarnett@wilkins.com,United Kingdom,Education,Solo,Pro,2/8/2023,Direct
CUST00069,"Castro, Simmons and Miller",SUnited Statesn Schultz,hayesbrandy@lang.com,Germany,Legal,Solo,Business,10/5/2023,Referral
CUST00070,"Gutierrez, Thomas and Montgomery",Jeffery Downs,melendezthomas@thomas-davis.com,United Kingdom,Finance,Medium (11-50),Pro,4/16/2024,Social Media
CUST00071,Bush PLC,Mariah Dunn,psmith@brown.com,India,Healthcare,Enterprise (200+),Pro,2/16/2024,Organic Search
CUST00072,Wagner-Church,James Stone,madams@daugherty.net,United States,HR & Recruiting,Small (2-10),Pro,9/15/2023,Referral
CUST00073,"Coleman, Henderson and Barnes",Julia Franco,hmoore@rice.biz,Canada,Design,Medium (11-50),Pro,8/10/2024,Paid Ads
CUST00074,"Thompson, Chavez and Gomez",Steven Allen,andrewmontoya@shah.net,United States,Marketing,Medium (11-50),Pro,6/23/2022,Paid Ads
CUST00075,Hernandez-Lewis,Larry Goodman,BRANCHGEORGE@MUNOZ.COM,United States,Finance,Solo,Free,9/28/2023,Social Media
CUST00076,"Mitchell, Hill and Smith",Melissa Thompson,charles07@sims-jones.biz,Canada,Design,Large (51-200),Business,5/30/2022,Social Media
CUST00077,"Rocha, Ford and Perez",James Clark,fdurham@obrien.com,United States,Marketing,Medium (11-50),Free,3/29/2024,Social Media
CUST00078,Bennett-Snyder,Corey Villa,fsalinas@moore-parker.info,United States,Technology,Enterprise (200+),Business,3/25/2023,Organic Search
CUST00079,Lawson-Padilla,Angela Barton,ruizjohn@oliver.biz,United States,Legal,Small (2-10),Pro,7/23/2024,Direct
CUST00080,Lawrence-Baird,Margaret Harrison,kayla76@merritt-burns.biz,Pakistan,Design,,Business,10/12/2023,Social Media
CUST00081,Hayes Inc,Raymond Jensen,christopher26@black-medina.biz,Brazil,,Medium (11-50),Pro,7/2/2024,Paid Ads
CUST00082,Sullivan-Hayes,Kevin Boyd,darrylgonzales@castro.com,Singapore,Healthcare,Medium (11-50),Pro,7/22/2023,Social Media
CUST00083,"Weber, Harvey and Williams",George Garcia,lawrence99@martinez-hall.net,India,Legal,Small (2-10),Free,6/8/2022,Organic Search
CUST00084,"Martin, Barker and Dalton",Scott Howard,zwalker@lewis.com,United States,Finance,Small (2-10),Free,10/11/2022,Organic Search
CUST00085,Hernandez and Sons,David Allen,blanchardpeggy@davis-yoder.org,United Kingdom,Finance,,Free,4/29/2024,Social Media
CUST00086,Young Group,Jean Andrews,stephanie52@miller-eaton.net,Brazil,Real Estate,Medium (11-50),Pro,3/8/2024,Social Media
CUST00087,"Rojas, Miller and Matthews",Andrew Gilbert,jamesorr@collins-mosley.info,United States,E-commerce,Small (2-10),Pro,9/3/2024,Direct
CUST00088,Hamilton-Lopez,Melissa Hawkins,kimellis@stewart.biz,Canada,E-commerce,Small (2-10),Pro,3/28/2023,Referral
CUST00089,Steele Ltd,John Lewis,mpadilla@howard-clark.com,India,Real Estate,Large (51-200),Pro,4/8/2024,Social Media
CUST00090,Castillo-Fry,Tracy Richards,keith01@davis.com,United States,Consulting,Small (2-10),Business,2/25/2022,Organic Search
CUST00091,Gonzalez-Whitehead,Spencer Skinner,cindy33@sanders.com,United Kingdom,E-commerce,Small (2-10),Free,6/17/2023,Referral
CUST00092,"Long, Reyes and Ruiz",Jared Porter,dominguezmichael@rios.com,United States,Legal,Solo,Free,5/13/2024,Organic Search
CUST00093,Velazquez-Lee,Ian Austin,barrettchristopher@wolf-warren.info,United States,Technology,Solo,Business,12/18/2023,Organic Search
CUST00094,"Jackson, Mckinney and Parks",Christopher Hardy,daughertybrooke@mccormick.com,United States,Consulting,Solo,Free,5/22/2023,Social Media
CUST00095,"Doyle, Taylor and Merritt",Aaron Garcia,yhamilton@cain.com,Australia,Education,Small (2-10),Pro,8/23/2022,Paid Ads
CUST00096,Brown Group,Brandy Jones,turnerjeffrey@drake-freeman.com,Singapore,Real Estate,Solo,Free,8/23/2022,Organic Search
CUST00097,Wagner Ltd,Juan Williams,hallrussell@berry.com,Australia,Design,Enterprise (200+),Pro,10/1/2023,Direct
CUST00098,"Thomas, Andersen and Jackson",Angela Howard,lbarr@williams-richardson.com,United States,Real Estate,Large (51-200),Business,5/13/2023,Direct
CUST00099,Mendoza Ltd,Kyle Williamson,dsnyder@reynolds.com,United Kingdom,Legal,Small (2-10),Free,3/26/2022,Partner
CUST00100,"Haas, White and Peterson",Alexander Rice,pricemark@matthews.info,United States,E-commerce,Small (2-10),Pro,11/30/2023,Referral
CUST00101,Moore-Hurst,Dennis Thompson,katiebarr@parker-brown.com,India,HR & Recruiting,Small (2-10),Pro,7/30/2024,Referral
CUST00102,Miller-Jenkins,Ashlee Holland,rosalesanita@miller.biz,Canada,Education,Large (51-200),Business,9/17/2024,Organic Search
CUST00103,Arnold-Ryan,Nathan Reid,sstewart@navarro.biz,Brazil,Real Estate,Small (2-10),Pro,7/26/2023,Partner
CUST00104,"Kelly, Steele and Jones",Tina Smith,robinwarren@hess.info,United Kingdom,Media,Small (2-10),Free,2/16/2024,Paid Ads
CUST00105,Jimenez-Edwards,Paul Garza,matthewwatkins@parker-williams.biz,Singapore,Design,Small (2-10),Business,12/28/2023,Referral
CUST00106,"Brown, Mckenzie and Gallagher",Brandy Rodriguez,zbryant@woods-williams.com,Canada,E-commerce,Solo,Free,1/21/2022,Social Media
CUST00107,"Williams, Davidson and Mcpherson",Martin Rogers,theresabarry@mills-lopez.com,India,Technology,,Pro,5/8/2023,Organic Search
CUST00108,"Fernandez, Lopez and Russell",Whitney Rocha,adamsjason@brooks-calhoun.com,United States,,Medium (11-50),Free,8/26/2023,Referral
CUST00109,Hill Inc,Kevin Davidson,stephanie37@james-ross.com,Australia,Legal,Small (2-10),Business,8/27/2024,Referral
CUST00110,"Boone, Neal and Mason",Jennifer Spence,jason75@morrison.org,India,Marketing,Small (2-10),Free,12/22/2023,Partner
CUST00111,Cole Ltd,Crystal Hunt,MEGHAN43@BLAIR.ORG,United Kingdom,Design,Medium (11-50),Business,1/30/2023,Paid Ads
CUST00112,Hunt-Howard,Kayla Jones,seth24@mendoza.net,United States,Legal,Small (2-10),Pro,1/28/2023,Direct
CUST00113,Oliver LLC,Allison Hernandez,thompsonmakayla@ball.com,Other,Education,Large (51-200),Pro,8/3/2023,Organic Search
CUST00114,Gray Group,Sierra Gibbs,butlermatthew@lewis.com,United States,Design,Enterprise (200+),Business,9/17/2022,Partner
CUST00115,Hernandez PLC,Rachel Smith,denise63@vasquez.com,United States,Media,Solo,Free,10/2/2024,Social Media
CUST00116,Vasquez LLC,Wanda Hernandez,sextonmonica@thomas.info,United States,Media,Solo,Business,11/29/2023,Organic Search
CUST00117,Martinez LLC,Sara Clark,lwilson@jackson.com,United Kingdom,Technology,Solo,Pro,5/14/2022,Paid Ads
CUST00118,"Wilson, Marshall and Brown",Sara Peterson,jessica73@marshall.com,Netherlands,Finance,Enterprise (200+),Free,11/2/2022,Social Media
CUST00119,Romero Ltd,John King,MANUELMATTHEWS@RAMIREZ.COM,Singapore,Healthcare,Small (2-10),Business,4/8/2023,Direct
CUST00120,Brown-Campbell,Megan Perry,justindurham@barnes-johnson.com,United Kingdom,Design,Medium (11-50),Pro,5/28/2024,Organic Search
CUST00121,Brown and Sons,Melissa Mclaughlin,romanchristine@anderson.com,Germany,Finance,Small (2-10),Free,3/2/2023,Paid Ads
CUST00122,Bryant Ltd,Misty Dalton,alexandrarice@kennedy-smith.com,United States,Media,Small (2-10),Pro,6/3/2022,Referral
CUST00123,Henderson LLC,Elijah Miller,erica22@taylor.info,United States,Media,Medium (11-50),Pro,3/8/2022,Organic Search
CUST00124,Vasquez Ltd,Paul Avila,jamie72@obrien.biz,UAE,,Large (51-200),Business,4/24/2023,Paid Ads
CUST00125,"Walsh, Davis and Mueller",Dr. Shannon Ortiz,evelynfrederick@perez.info,United States,Healthcare,Small (2-10),Free,5/20/2024,Paid Ads
CUST00126,Martin and Sons,Daniel Mendez,michaelmclean@smith-cabrera.com,United States,Real Estate,Large (51-200),Business,5/27/2022,Social Media
CUST00127,Fuller-Parker,Eric Williams,pettydaniel@mcdonald-thomas.com,Canada,Healthcare,Small (2-10),Free,9/12/2022,Direct
CUST00128,"Schneider, Glover and Velez",Sheila Buchanan MD,kellymichael@long.com,Canada,Design,Medium (11-50),Business,10/8/2024,Referral
CUST00129,Rodriguez LLC,Lori Miller,fergusonjoseph@jones-wilson.net,United States,Real Estate,Small (2-10),Pro,5/28/2023,Direct
CUST00130,Shea PLC,Gwendolyn James,nicole60@williams.org,Other,Technology,Medium (11-50),Free,2/12/2022,Paid Ads
CUST00131,Murray Ltd,Joseph Pineda,brookestevenson@mata.com,Canada,Real Estate,Small (2-10),Free,8/21/2024,Social Media
CUST00132,Gregory LLC,Katelyn Burns,stephen71@walters.com,Pakistan,Education,Small (2-10),Free,10/4/2024,Partner
CUST00133,"Jones, Campbell and Ward",James Carr,wendyfoster@ortiz-weaver.info,France,Healthcare,Small (2-10),Pro,8/3/2022,Partner
CUST00134,"Diaz, Wilson and Schneider",Jane Dominguez,stephaniecunningham@rivera.com,Netherlands,Education,Medium (11-50),Pro,3/31/2024,Referral
CUST00135,"Brown, Reyes and Ferguson",Carol Leach,whitneyanderson@johnson.info,United States,Technology,Large (51-200),Business,10/25/2023,Direct
CUST00136,Davis Ltd,Jenna Allen,charles58@clark.org,United Kingdom,Media,Solo,Free,8/4/2024,Partner
CUST00137,Chan-Farrell,Brooke Simmons,kathleen44@brown.com,Singapore,Healthcare,Small (2-10),Pro,6/24/2024,Social Media
CUST00138,"Smith, Robinson and Mcdaniel",Jeremy Cruz,ybarrera@camacho.com,United States,Finance,Enterprise (200+),Business,9/19/2024,Referral
CUST00139,"Bishop, Stephens and Warren",Holly Wilson,collinstaylor@johnson.com,Australia,Marketing,Solo,Business,1/29/2022,Social Media
CUST00140,Carroll-Page,John Hill MD,gdodson@patterson.net,Germany,Healthcare,Solo,Business,8/29/2022,Direct
CUST00141,Wilson LLC,Lindsay Green,npetty@robinson.org,United Kingdom,Media,Small (2-10),Pro,7/14/2023,Direct
CUST00142,"Howe, Clark and Macdonald",Terrance Walker,kathleen02@morgan.com,United Kingdom,Consulting,Enterprise (200+),Business,10/24/2022,Referral
CUST00143,Barnes-Ritter,Wanda Miranda,rangelkaren@pitts.com,United Kingdom,Technology,Large (51-200),Pro,4/29/2024,Referral
CUST00144,Cox-Powell,Stephen Sherman,jonathanhernandez@morgan.com,France,Education,Small (2-10),Pro,9/29/2024,Direct
CUST00145,"Nelson, Boyd and Todd",Eric Davis,thomas82@hickman.com,Canada,Design,Small (2-10),Free,2/12/2024,Paid Ads
CUST00146,Calhoun Inc,Jeff Barr,oliverrebecca@riddle-williams.com,United States,Design,Large (51-200),Pro,2/24/2024,Social Media
CUST00147,"Weber, Palmer and Richards",Patricia David,ajackson@smith.com,Other,Consulting,Large (51-200),Pro,3/1/2024,Organic Search
CUST00148,Williams and Sons,Michael Burns PhD,nortonjimmy@snow.com,Canada,Media,Medium (11-50),Business,9/16/2022,Organic Search
CUST00149,"Edwards, Riggs and Carson",John Hickman,kingjoshua@thompson-stone.net,United States,Consulting,Solo,Business,7/24/2024,Organic Search
CUST00150,"Hunt, Robinson and Williams",Sara Wells,bradleyhaynes@williams-wilkinson.com,Singapore,E-commerce,Small (2-10),Pro,8/19/2024,Partner
CUST00151,Morris-Oconnor,Charles Allison,huynhjeffrey@sharp.com,France,E-commerce,Large (51-200),Business,6/14/2022,Partner
CUST00152,Hayes-Dominguez,Breanna Moss,sharonhenderson@schneider.com,France,HR & Recruiting,Solo,Free,9/26/2024,Partner
CUST00153,Glass-Dalton,Lori Brown,troythomas@king.com,Other,Marketing,Medium (11-50),Free,8/12/2023,Partner
CUST00154,Turner Group,Christine Miller,vsalazar@arroyo.biz,Canada,Technology,Medium (11-50),Business,7/25/2022,Referral
CUST00155,Martinez Ltd,Sophia Rodriguez,joannareilly@evans-wood.org,United States,Legal,Small (2-10),Free,4/25/2022,Social Media
CUST00156,Gonzalez-Berry,Miranda Reese,gstevenson@white.org,United States,Real Estate,Solo,Business,1/4/2023,Partner
CUST00157,"Jones, Skinner and Snyder",Gary Gray,rbrown@lopez.com,Canada,HR & Recruiting,Medium (11-50),Free,5/9/2023,Referral
CUST00158,"Kim, Perez and Gamble",David Bolton,popekelly@stewart.org,United States,Healthcare,,Business,7/30/2024,Partner
CUST00159,"Johnson, Chandler and Watkins",Reginald Newman,alyssa92@lane-sanchez.com,United States,Healthcare,Enterprise (200+),Business,11/20/2022,Social Media
CUST00160,Hicks-Lowe,Mark Gonzalez,wellsdavid@king-hogan.com,Canada,Media,Small (2-10),Business,5/28/2023,Organic Search
CUST00161,"Ayers, Nichols and Anderson",Tanya Scott,carneystephanie@brown.biz,United Kingdom,Design,Small (2-10),Free,5/1/2023,Referral
CUST00162,Berg-Gonzalez,Juan Mcdonald,kellywu@gentry.com,Other,Real Estate,Medium (11-50),Free,2/14/2022,Partner
CUST00163,Gallagher-Smith,Kimberly Wood,rebeccacox@garrett.com,Brazil,Healthcare,Medium (11-50),Business,4/11/2022,Paid Ads
CUST00164,Smith-Pittman,Catherine Todd,holmesshirley@mcbride-hicks.com,United States,Design,Solo,Free,12/23/2023,Partner
CUST00165,"Harrison, Wang and Wilson",Nicholas Bowers,hoodstacy@lee-harris.com,Germany,Healthcare,Enterprise (200+),Business,10/8/2022,Organic Search
CUST00166,Lawson and Sons,Alicia Potter,paul10@carter-townsend.org,India,Design,Solo,Free,1/18/2024,Social Media
CUST00167,Parker PLC,Paul Williams,ltaylor@walker-middleton.com,United States,Education,Large (51-200),Pro,12/26/2022,Referral
CUST00168,Carroll Group,Kenneth Long,millerpeggy@brown.com,United States,Healthcare,Large (51-200),Business,12/3/2022,Referral
CUST00169,"Maxwell, Rios and Hardin",Lindsey Mcdonald,shawnvasquez@crawford-perry.com,Canada,Finance,,Pro,8/24/2022,Partner
CUST00170,Donovan and Sons,Mackenzie Thompson,leroy87@olson-gray.com,Pakistan,E-commerce,Large (51-200),Free,3/24/2024,Direct
CUST00171,Norman PLC,Lawrence Baker,jason68@vargas.com,Canada,Real Estate,Medium (11-50),Pro,9/11/2022,Social Media
CUST00172,"Mendez, Chapman and Lyons",Tamara Ford,jessica78@rodriguez.com,United States,Legal,Small (2-10),Free,1/31/2024,Referral
CUST00173,Allen-Miles,Phillip Mccarthy,thomasjohnny@yang.com,Germany,Design,Medium (11-50),Pro,3/30/2023,Referral
CUST00174,Santos-Smith,Michael Smith,austinmedina@davis.org,United States,,Solo,Free,4/16/2024,Organic Search
CUST00175,"Wilson, Stanley and Short",Kathleen Kane,batkinson@frazier-brown.info,United States,Education,Medium (11-50),Free,7/19/2022,Partner
CUST00176,"Thompson, Burgess and Blair",Troy Taylor,nortonmichael@young-malone.com,Australia,HR & Recruiting,Medium (11-50),Business,5/8/2024,Organic Search
CUST00177,Arnold and Sons,Paul Neal,fergusondana@stephenson.info,Germany,Design,Enterprise (200+),Pro,9/29/2024,Social Media
CUST00178,"Walker, Campbell and Lee",William Carter,jenningsjoel@young.com,Pakistan,HR & Recruiting,Large (51-200),Pro,6/29/2024,Partner
CUST00179,Hunt Ltd,Elizabeth Thomas,pearsonholly@williams.biz,United States,Media,Small (2-10),Business,1/5/2024,Organic Search
CUST00180,Jones-Mercado,Robert Mccormick,steven84@ellis.com,Germany,Education,,Free,3/11/2023,Paid Ads
CUST00181,"Huff, Bryant and Sandoval",Ryan Johnson,coreytravis@cobb.com,Singapore,Legal,Small (2-10),Business,9/15/2022,Paid Ads
CUST00182,Anderson Ltd,Joseph Contreras,epayne@wilkins.com,Netherlands,Real Estate,Small (2-10),Pro,3/19/2023,Organic Search
CUST00183,"Ramirez, Young and Cole",Desiree Padilla,kimberlybell@long.org,France,Healthcare,Solo,Free,7/22/2023,Paid Ads
CUST00184,"Price, Robinson and Gonzalez",Michael Graham,jakethornton@freeman-herring.org,Germany,Finance,Solo,Free,8/14/2022,Direct
CUST00185,"Frey, Scott and Morse",Carol Conway,nfreeman@townsend.info,United States,E-commerce,Small (2-10),Free,10/26/2023,Direct
CUST00186,Baird LLC,James Davis,turnererin@fuentes.com,India,Legal,Small (2-10),Pro,8/21/2022,Direct
CUST00187,Nguyen Group,Annette King,jamesowens@leblanc-davis.com,Canada,Design,Small (2-10),Pro,8/12/2022,Partner
CUST00188,Jones-James,Wendy Hamilton,mullinsjennifer@cuevas.com,Canada,Media,Enterprise (200+),Business,9/10/2023,Social Media
CUST00189,Rivera LLC,Gregory Bowman,guzmanjennifer@hogan.com,Canada,Marketing,Enterprise (200+),Pro,8/10/2022,Paid Ads
CUST00190,"Maldonado, Mays and Downs",Cassandra Davis,WARIAS@MATTHEWS.COM,United States,Design,Medium (11-50),Pro,5/15/2022,Referral
CUST00191,"Gutierrez, Daniel and Garcia",Daniel Wells,atkinsondiane@park.com,Other,Real Estate,Medium (11-50),Pro,2/20/2024,Social Media
CUST00192,"Smith, Kim and Reid",Christopher Henderson,donaldromero@holmes.com,Singapore,Legal,Solo,Pro,7/23/2022,Partner
CUST00193,Martin-Baker,Juan Adkins,christopherrivera@norris.net,Canada,Media,Large (51-200),Pro,3/17/2023,Partner
CUST00194,Campos-Martinez,Brian Williams,whitetyler@greene-walton.info,United Kingdom,Consulting,Small (2-10),Free,7/14/2022,Partner
CUST00195,Underwood-Armstrong,Angela Edwards,gwendolyndavis@marshall-erickson.org,United States,Marketing,Large (51-200),Business,8/29/2024,Referral
CUST00196,Warren-Evans,Daniel Roberts,ryantaylor@mcguire.info,Australia,Education,Medium (11-50),Pro,9/24/2022,Partner
CUST00197,Johnson Group,Brian Martin,kevin89@espinoza.com,United Kingdom,E-commerce,Large (51-200),Business,9/8/2022,Partner
CUST00198,Odonnell-Williams,Brandon Oneill,qprice@davis-rosario.biz,Pakistan,Real Estate,Medium (11-50),Free,4/16/2022,Direct
CUST00199,"Thomas, Grant and Smith",Danielle Sanchez,april81@christensen.org,United States,Education,Small (2-10),Business,3/12/2023,Direct
CUST00200,Kelley PLC,Michael Williams,cookjohn@jones.com,United States,E-commerce,,Free,1/23/2024,Direct
CUST00201,Herrera Inc,Crystal Gomez,ronaldramirez@long-alexander.biz,Germany,Technology,Medium (11-50),Pro,2/23/2022,Paid Ads
